"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"C101";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";
"C102";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";
"C103";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";
"C104";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";
"C105";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";
"C106";"RAD FC 470/25";"CPOL-EUE3.5-8";"E3,5-8";"POLARIZED CAPACITOR, European symbol";"";"";"";"";
"C107";"RAD FC 470/25";"CPOL-EUE3.5-8";"E3,5-8";"POLARIZED CAPACITOR, European symbol";"";"";"";"";
"C201";"10µ";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";
"C202";"10µ";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";
"C203";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";
"C204";"10µ";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";
"C205";"10µ";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";
"C301";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";
"C302";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";
"C303";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";
"C401";"10µ";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";
"C402";"10µ";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";
"C403";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";
"C501";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";
"C502";"10µ";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";
"C503";"10µ";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";
"C504";"10µ";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";
"D101";"SK34";"DIODE-DO214BA";"DO214BA";"DIODE";"";"";"";"";
"D102";"SK34";"DIODE-DO214BA";"DO214BA";"DIODE";"";"";"";"";
"D103";"SK34";"DIODE-DO214BA";"DO214BA";"DIODE";"";"";"";"";
"D104";"SK34";"DIODE-DO214BA";"DO214BA";"DIODE";"";"";"";"";
"D105";"SK34";"DIODE-DO214BA";"DO214BA";"DIODE";"";"";"";"";
"D106";"SK34";"DIODE-DO214BA";"DO214BA";"DIODE";"";"";"";"";
"D107";"SK34";"DIODE-DO214BA";"DO214BA";"DIODE";"";"";"";"";
"D108";"SK34";"DIODE-DO214BA";"DO214BA";"DIODE";"";"";"";"";
"D109";"SK34";"DIODE-DO214BA";"DO214BA";"DIODE";"";"";"";"";
"D110";"SK34";"DIODE-DO214BA";"DO214BA";"DIODE";"";"";"";"";
"D201";"SK 34A SMD";"DIODE-DO214BA";"DO214BA";"DIODE";"";"";"";"";
"D202";"1N4148";"DIODE-MINIMELF";"MINIMELF";"DIODE";"";"";"";"";
"D301";"SK54";"DIODE-SMC";"SMC";"DIODE";"";"";"";"";
"H1";"MOUNT-HOLE3.6";"MOUNT-HOLE3.6";"3,6";"MOUNTING HOLE with drill center marker";"";"";"";"";
"H2";"MOUNT-HOLE3.6";"MOUNT-HOLE3.6";"3,6";"MOUNTING HOLE with drill center marker";"";"";"";"";
"H3";"MOUNT-HOLE3.6";"MOUNT-HOLE3.6";"3,6";"MOUNTING HOLE with drill center marker";"";"";"";"";
"H4";"MOUNT-HOLE3.6";"MOUNT-HOLE3.6";"3,6";"MOUNTING HOLE with drill center marker";"";"";"";"";
"IC201";"MCP16301/H";"MCP16301/H";"SOT23-6";"High-Voltage Input Integrated Switch Step-Down Regulator";"";"";"";"";
"IC301";"ICL7665CSA";"ICL7665CSA";"SO08";"UNDER/OVER VOLTAGE DETECTOR";"";"ICL7665CSA+";"unknown";"19M9537";
"IC302";"";"INA219-SO8D";"SO08";"INA219";"";"";"";"";
"IC303";"";"INA219-SO8D";"SO08";"INA219";"";"";"";"";
"IC401";"4067D";"4067D";"SO24W";"16-channel ANALOG MULTIPLEXER";"";"";"";"";
"IC402";"4040D";"4040D";"SO16";"12-stage binary/ripple COUNTER";"";"";"";"";
"IC501";"";"LM75_ICN";"SO8_LM75";"Temperatursensor";"";"";"";"";
"IC502";"NANO";"NANO";"NANO";"Arduino Nano";"";"";"";"";
"IC503";"";"ESP12SMD";"ESP12-SMD";"ESP8266 Wifi module 12";"";"";"";"";
"IC504";"LD117AS33TR";"LD117AS33TR";"SOT223";"Low drop fixed and adjustable positive voltage regulators 1 A";"";"";"";"";
"J101";"PIN2F061.100";"PIN2F061.100";"F061.100";"Flachstecker Typ Tyco/Electronics/AMP TAB, FASTON";"";"";"unknown";"unknown";
"J102";"PIN2F061.100";"PIN2F061.100";"F061.100";"Flachstecker Typ Tyco/Electronics/AMP TAB, FASTON";"";"";"unknown";"unknown";
"J103";"PIN2F061.100";"PIN2F061.100";"F061.100";"Flachstecker Typ Tyco/Electronics/AMP TAB, FASTON";"";"";"unknown";"unknown";
"J104";"PIN2F061.100";"PIN2F061.100";"F061.100";"Flachstecker Typ Tyco/Electronics/AMP TAB, FASTON";"";"";"unknown";"unknown";
"J105";"PIN2F061.100";"PIN2F061.100";"F061.100";"Flachstecker Typ Tyco/Electronics/AMP TAB, FASTON";"";"";"unknown";"unknown";
"J106";"PIN2F061.100";"PIN2F061.100";"F061.100";"Flachstecker Typ Tyco/Electronics/AMP TAB, FASTON";"";"";"unknown";"unknown";
"J107";"PIN2F061.100";"PIN2F061.100";"F061.100";"Flachstecker Typ Tyco/Electronics/AMP TAB, FASTON";"";"";"unknown";"unknown";
"J108";"PIN2F061.100";"PIN2F061.100";"F061.100";"Flachstecker Typ Tyco/Electronics/AMP TAB, FASTON";"";"";"unknown";"unknown";
"J109";"PIN2F061.100";"PIN2F061.100";"F061.100";"Flachstecker Typ Tyco/Electronics/AMP TAB, FASTON";"";"";"unknown";"unknown";
"J110";"PIN2F061.100";"PIN2F061.100";"F061.100";"Flachstecker Typ Tyco/Electronics/AMP TAB, FASTON";"";"";"unknown";"unknown";
"J301";"VBAT-";"PIN2F061.100";"F061.100";"Flachstecker Typ Tyco/Electronics/AMP TAB, FASTON";"";"";"unknown";"unknown";
"J302";"VBAT+";"PIN2F061.100";"F061.100";"Flachstecker Typ Tyco/Electronics/AMP TAB, FASTON";"";"";"unknown";"unknown";
"J303";"VBAT-";"PIN2F061.100";"F061.100";"Flachstecker Typ Tyco/Electronics/AMP TAB, FASTON";"";"";"unknown";"unknown";
"J304";"VBAT-";"PIN2F061.100";"F061.100";"Flachstecker Typ Tyco/Electronics/AMP TAB, FASTON";"";"";"unknown";"unknown";
"JP1";"";"PINHD-1X4";"1X04";"PIN HEADER";"";"";"";"";
"JP2";"";"JP1E";"JP1";"JUMPER";"";"";"";"";
"JP401";"";"PINHD-1X10";"1X10";"PIN HEADER";"";"";"";"";
"JP402";"";"PINHD-1X10";"1X10";"PIN HEADER";"";"";"";"";
"JP502";"";"PINHD-1X4";"1X04";"PIN HEADER";"";"";"";"";
"JP503";"";"JP1E";"JP1";"JUMPER";"";"";"";"";
"L201";"L-PIS4720 22µ";"DR74";"DR74";"High Power Density, High Efficiency, Shielded Inductors";"";"";"";"";
"Q101";"IRF7413";"FDS5680";"SO-8";"60V N-Channel PowerTrench TM MOSFET";"";"";"";"";
"Q102";"IRF7413";"FDS5680";"SO-8";"60V N-Channel PowerTrench TM MOSFET";"";"";"";"";
"Q103";"IRF7413";"FDS5680";"SO-8";"60V N-Channel PowerTrench TM MOSFET";"";"";"";"";
"Q104";"IRF7413";"FDS5680";"SO-8";"60V N-Channel PowerTrench TM MOSFET";"";"";"";"";
"Q105";"IRF7413";"FDS5680";"SO-8";"60V N-Channel PowerTrench TM MOSFET";"";"";"";"";
"Q301";"IRF7413";"N-MOSFET-SO8S";"SO-08";"N-Channel MOSFET";"";"";"";"";
"Q302";"IRF9388";"P-MOSFET-SO8";"SO-08";"P-Channel MOSFET";"";"";"";"";
"Q401";"IRLML2244";"IRLML5203";"MICRO3";"HEXFET P-Channel Power MOSFET";"";"";"";"";
"R1";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"R2";"15k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"R101";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"R102";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"R103";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"R104";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
