"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"1";"";"ESP12SMD";"ESP12-SMD";"IC503";"ESP8266 Wifi module 12";"";"";"";"";
"2";"";"INA219-SO8D";"SO08";"IC302, IC303";"INA219";"";"";"";"";
"2";"";"JP1E";"JP1";"JP2, JP503";"JUMPER";"";"";"";"";
"1";"";"LM75_ICN";"SO8_LM75";"IC501";"Temperatursensor";"";"";"";"";
"2";"";"PINHD-1X10";"1X10";"JP401, JP402";"PIN HEADER";"";"";"";"";
"2";"";"PINHD-1X4";"1X04";"JP1, JP502";"PIN HEADER";"";"";"";"";
"3";"";"SJW";"SJW";"SJ401, SJ402, SJ403";"SMD solder JUMPER";"";"";"";"";
"11";"100n";"C-EUC1206";"C1206";"C101, C102, C103, C104, C105, C203, C301, C302, C303, C403, C501";"CAPACITOR, European symbol";"";"";"";"";
"13";"10k";"R-EU_R0805";"R0805";"R1, R101, R102, R103, R104, R105, R202, R307, R308, R401, R501, R502, R503";"RESISTOR, European symbol";"";"";"";"";
"9";"10µ";"C-EUC1206";"C1206";"C201, C202, C204, C205, C401, C402, C502, C503, C504";"CAPACITOR, European symbol";"";"";"";"";
"1";"15k";"R-EU_R0805";"R0805";"R2";"RESISTOR, European symbol";"";"";"";"";
"1";"1N4148";"DIODE-MINIMELF";"MINIMELF";"D202";"DIODE";"";"";"";"";
"1";"2.2M";"R-EU_R0805";"R0805";"R305";"RESISTOR, European symbol";"";"";"";"";
"1";"300k";"R-EU_R0805";"R0805";"R304";"RESISTOR, European symbol";"";"";"";"";
"1";"31.6k";"R-EU_R0805";"R0805";"R306";"RESISTOR, European symbol";"";"";"";"";
"1";"365k";"R-EU_R0805";"R0805";"R302";"RESISTOR, European symbol";"";"";"";"";
"1";"4040D";"4040D";"SO16";"IC402";"12-stage binary/ripple COUNTER";"";"";"";"";
"1";"4067D";"4067D";"SO24W";"IC401";"16-channel ANALOG MULTIPLEXER";"";"";"";"";
"1";"47k";"R-EU_R0805";"R0805";"R303";"RESISTOR, European symbol";"";"";"";"";
"1";"52.3k";"R-EU_R0805";"R0805";"R201";"RESISTOR, European symbol";"";"";"";"";
"1";"7.5k";"R-EU_R0805";"R0805";"R301";"RESISTOR, European symbol";"";"";"";"";
"2";"CRE2512-FZ-R002E-3";"R-EU_R2512";"R2512";"R309, R310";"RESISTOR, European symbol";"";"";"";"";
"1";"ICL7665CSA";"ICL7665CSA";"SO08";"IC301";"UNDER/OVER VOLTAGE DETECTOR";"";"ICL7665CSA+";"unknown";"19M9537";
"5";"IRF7413";"FDS5680";"SO-8";"Q101, Q102, Q103, Q104, Q105";"60V N-Channel PowerTrench TM MOSFET";"";"";"";"";
"1";"IRF7413";"N-MOSFET-SO8S";"SO-08";"Q301";"N-Channel MOSFET";"";"";"";"";
"1";"IRF9388";"P-MOSFET-SO8";"SO-08";"Q302";"P-Channel MOSFET";"";"";"";"";
"1";"IRLML2244";"IRLML5203";"MICRO3";"Q401";"HEXFET P-Channel Power MOSFET";"";"";"";"";
"1";"L-PIS4720 22µ";"DR74";"DR74";"L201";"High Power Density, High Efficiency, Shielded Inductors";"";"";"";"";
"1";"LD117AS33TR";"LD117AS33TR";"SOT223";"IC504";"Low drop fixed and adjustable positive voltage regulators 1 A";"";"";"";"";
"1";"MCP16301/H";"MCP16301/H";"SOT23-6";"IC201";"High-Voltage Input Integrated Switch Step-Down Regulator";"";"";"";"";
"4";"MOUNT-HOLE3.6";"MOUNT-HOLE3.6";"3,6";"H1, H2, H3, H4";"MOUNTING HOLE with drill center marker";"";"";"";"";
"1";"NANO";"NANO";"NANO";"IC502";"Arduino Nano";"";"";"";"";
"10";"PIN2F061.100";"PIN2F061.100";"F061.100";"J101, J102, J103, J104, J105, J106, J107, J108, J109, J110";"Flachstecker Typ Tyco/Electronics/AMP TAB, FASTON";"";"";"unknown";"unknown";
"2";"RAD FC 470/25";"CPOL-EUE3.5-8";"E3,5-8";"C106, C107";"POLARIZED CAPACITOR, European symbol";"";"";"";"";
"1";"SK 34A SMD";"DIODE-DO214BA";"DO214BA";"D201";"DIODE";"";"";"";"";
"10";"SK34";"DIODE-DO214BA";"DO214BA";"D101, D102, D103, D104, D105, D106, D107, D108, D109, D110";"DIODE";"";"";"";"";
"1";"SK54";"DIODE-SMC";"SMC";"D301";"DIODE";"";"";"";"";
"1";"VBAT+";"PIN2F061.100";"F061.100";"J302";"Flachstecker Typ Tyco/Electronics/AMP TAB, FASTON";"";"";"unknown";"unknown";
"3";"VBAT-";"PIN2F061.100";"F061.100";"J301, J303, J304";"Flachstecker Typ Tyco/Electronics/AMP TAB, FASTON";"";"";"unknown";"unknown";
